,Name,2_March,18_May
3450,Saurashtra Cement,113.85,117.5
3451,Savani Financials,20.82,19.74
3452,Saven Technologies,64.0,57.66
3453,Savera Industries,0.0,0.0
3454,Savita Oil Tech,449.4,516.45
3455,Sawaca Business,1.34,1.65
3456,Sayaji Hotels,0.0,0.0
3457,Sayaji Industries,190.0,173.25
3458,SBC Exports,23.45,28.1
3459,SBEC Sugar,43.34,47.93
3460,SBEC Sys.,32.87,26.0
3461,SBFC Finance,85.55,82.65
3462,SBI,773.3,821.0
3463,SBI Cards,721.3,714.75
3464,SBI Life Insurance,1546.8,1439.85
3465,SBL Infratech,29.02,35.5
3466,SC Agrotech,13.71,13.9
3467,Scan Projects,46.7,40.69
3468,Scan Steels,81.64,74.0
3469,Scanpoint,5.71,6.4
3470,SCAPDVR,4.8,3.2
3471,Schablona India,10.87,10.87
3472,Schaeffler India,2907.05,4382.45
3473,Schneider Electric,629.0,919.9
3474,Scintilla Commercial,5.15,5.33
3475,Scoobee Day,81.81,81.99
3476,Sea TV Network,10.13,8.7
3477,Seacoast Shipping,4.88,3.74
3478,SEAMEC,1136.55,1067.15
3479,Seasons Furnishing,4.25,4.25
3480,Seasons Textiles,18.87,17.57
3481,SecMark Consultancy,99.0,108.4
3482,Secur Credential,19.6,15.45
3483,Securekloud Tech,59.95,42.85
3484,Sejal Glass,369.4,314.95
3485,SEL Mfg,85.95,69.45
3486,Selan Exploration,493.2,649.3
3487,Sellwin Traders,15.71,23.07
3488,Semac Consultants,2850.0,1192.9
3489,Senco Gold,835.95,874.75
3490,Senthil Infotek,16.94,16.5
3491,SEPC,21.85,19.2
3492,SeQuent Scientific,133.4,116.55
3493,Sera Investments,18.63,16.19
3494,Sera Investments,18.63,16.19
3495,Sera Investments,18.63,16.19
3496,Sera Investments,18.63,16.19
3497,Servoteach Inds,26.41,24.62
3498,Servotech Power,95.25,84.55
3499,Servotech Power,95.25,84.55
3500,Servotech Power,95.25,84.55
3501,Servotech Power,95.25,84.55
3502,Servotech Power,95.25,84.55
